AirTemp,BuiltSurface,Elevation,LST,LULC,NDBI,NDVI,PopulationDensity,UrbanClass,WaterDistance,WindSpeed,Longitude,Latitude
28.58830398,0,547,50.339921,30,0.033651849,0.115052733,11.57818508,30,85.44003745,2.26777321,73.96742498,18.54601274
27.67938471,0,626,44.24900936,10,0.062933827,0.520841157,0.0,21,496.5883607,1.956266523,73.70407504,18.68553886
27.79409916,22,598,48.02933948,10,0.149357964,0.304317789,7.554962635,30,390.5124838,1.964554078,73.80667729,18.53145503
28.63506505,0,548,45.95801936,40,0.101369863,0.219330855,1.294866443,30,50.0,2.199088634,73.87102523,18.57881591
29.12462849,0,597,52.7667152,40,0.061897623,0.252144082,0.031505264,12,353.5533906,2.241365912,74.0494343,18.58830861
28.88797394,0,561,47.61575906,40,-0.215393033,0.673110721,0.0,21,608.1118318,2.221364185,73.96704294,18.66708299
27.79409916,30,565,43.35690614,50,0.06216458,0.22631579,217.6824799,30,183.8477631,1.964554078,73.82363765,18.49019306
28.1694283,0,607,51.74472722,30,0.031037093,0.070457872,0.0,30,744.3117626,2.192059992,73.94901225,18.46496168
28.9400636,54,560,46.04688788,50,0.093370496,0.165003837,21.05496979,21,551.724569,2.351222966,74.05873574,18.48249174
27.71183371,0,566,53.49817148,30,0.295767593,0.157678057,0.768954098,21,174.9285568,1.864115503,73.73372408,18.57539082
28.9400636,0,533,45.65039756,10,-0.319303616,0.678675755,0.0,12,228.2542442,2.351222966,74.0648785,18.5379713
27.31336457,23,719,48.60698486,50,0.031541537,0.09327984,124.2851257,30,424.2640687,2.102473899,73.85893497,18.42423333
28.94811934,0,567,47.43802202,40,0.064543524,0.164068692,0.0,12,590.5929224,2.199623125,74.06764206,18.67007029
27.67938471,0,612,44.37205808,40,0.147358665,0.221779549,2.977247715,30,110.0,1.956266523,73.74437995,18.67877131
27.67938471,3,612,46.11183026,10,-0.032647669,0.433962264,14.0734024,30,220.2271555,1.956266523,73.74376917,18.67402816
27.79409916,45,581,46.50832058,30,0.028869436,0.212840195,147.9802399,30,790.0632886,1.964554078,73.79041707,18.48668611
28.14696374,82,562,45.77002826,50,-0.085423038,0.436977058,105.690712,30,176.9180601,2.087858749,73.77601791,18.61859763
28.63506505,0,586,51.47812166,30,0.192812437,0.13644116,17.69020653,21,518.5556865,2.199088634,73.91466952,18.64262496
28.58830398,7,557,50.11433168,50,0.114687217,0.099662162,23.36115456,21,693.5416354,2.26777321,74.00872021,18.53134565
