system:index,AirTemp,BuiltSurface,Elevation,LST,LULC,NDBI,NDVI,PopulationDensity,UrbanClass,WaterDistance,WindSpeed,.geo,Longitude,Latitude
572,29.29183769,0,577,52.87609184,30,0.184180359,0.161588683,0,12,233.4523506,2.224560324,"{""type"":""Point"",""coordinates"":[74.05572675303675,18.60214402965489]}",74.05572675,18.60214403
573,29.12462849,0,567,55.35415634,40,0.062223258,0.290984921,0,12,278.9265136,2.241365912,"{""type"":""Point"",""coordinates"":[74.03908232289673,18.61472627912506]}",74.03908232,18.61472628
574,27.71183371,0,599,54.38343866,40,0.152184832,0.295471988,0,30,186.8154169,1.864115503,"{""type"":""Point"",""coordinates"":[73.7287094544386,18.609698576229494]}",73.72870945,18.60969858
575,28.58830398,0,553,47.63626718,40,-0.008572653,0.383303939,11.87118435,21,860.92973,2.26777321,"{""type"":""Point"",""coordinates"":[74.0231262196558,18.47163781537326]}",74.02312622,18.47163782
576,26.60724477,50,599,46.60060712,50,0.030145305,0.167624021,13.82451057,21,155.5634919,1.532930593,"{""type"":""Point"",""coordinates"":[73.74189713579551,18.403409429584038]}",73.74189714,18.40340943
577,27.62282456,0,842,52.77013322,30,0.151570158,0.145588235,0.215927795,12,198.4943324,2.332534389,"{""type"":""Point"",""coordinates"":[74.0243863685334,18.40929861386805]}",74.02438637,18.40929861
578,27.31336457,0,890,54.4757252,30,0.06133225,0.173394263,0.494234741,12,190.2629759,2.102473899,"{""type"":""Point"",""coordinates"":[73.94682365146812,18.40570382553311]}",73.94682365,18.40570383
579,28.63506505,0,600,51.88828406,50,0.125291104,0.178907721,0.078763165,21,145.6021978,2.199088634,"{""type"":""Point"",""coordinates"":[73.93890536243823,18.61100024461561]}",73.93890536,18.61100024
580,28.88797394,0,576,49.143614,20,0.040570175,0.267809708,0,12,328.0243893,2.221364185,"{""type"":""Point"",""coordinates"":[73.99808229669293,18.658139975115976]}",73.9980823,18.65813998
581,28.14107453,0,867,49.37945738,20,0.16487026,0.186950355,0,11,899.6110271,2.550083672,"{""type"":""Point"",""coordinates"":[74.08148849525193,18.419318436708533]}",74.0814885,18.41931844
582,28.63506505,0,575,47.28421112,40,0.053412463,0.284671533,0.724621117,12,322.4903099,2.199088634,"{""type"":""Point"",""coordinates"":[73.9229836333743,18.637886382216664]}",73.92298363,18.63788638
583,28.52975997,88,581,52.55821598,30,0.091064704,0.13510047,27.72549057,21,703.8465742,2.170833195,"{""type"":""Point"",""coordinates"":[73.92866230907681,18.679252367000373]}",73.92866231,18.67925237
584,29.12462849,0,587,56.72820038,30,0.182898853,0.081424234,0,12,130,2.241365912,"{""type"":""Point"",""coordinates"":[74.03719881845132,18.603408833214896]}",74.03719882,18.60340883
585,27.62282456,0,899,48.77104982,30,0.118416402,0.126467931,0,12,502.4937811,2.332534389,"{""type"":""Point"",""coordinates"":[74.04271797471726,18.407263111391707]}",74.04271797,18.40726311
586,29.12462849,18,570,54.43129094,50,0.17013373,0.017767654,24.61821556,21,367.151195,2.241365912,"{""type"":""Point"",""coordinates"":[74.01912025956484,18.641840732889808]}",74.01912026,18.64184073
587,27.79409916,22,663,43.71579824,10,0.017869575,0.247641509,121.755249,30,526.3078947,1.964554078,"{""type"":""Point"",""coordinates"":[73.84858122284679,18.452864375716256]}",73.84858122,18.45286438
588,28.63506505,0,592,55.26528782,30,0.129068462,0.258922777,0,21,386.0051813,2.199088634,"{""type"":""Point"",""coordinates"":[73.86865206854118,18.648312910298202]}",73.86865207,18.64831291
589,28.63506505,0,571,51.32431076,30,0.194734805,0.149171271,0,30,41.23105626,2.199088634,"{""type"":""Point"",""coordinates"":[73.9018082229089,18.583126769068127]}",73.90180822,18.58312677
590,28.14696374,53,586,49.7930378,50,0.088068182,0.277430358,111.188385,30,651.1528238,2.087858749,"{""type"":""Point"",""coordinates"":[73.830593312432,18.62812861376222]}",73.83059331,18.62812861
591,27.31336457,0,670,52.02500486,50,0.154704273,0.121161362,16.66628647,30,322.0248438,2.102473899,"{""type"":""Point"",""coordinates"":[73.91021700930258,18.43673816510159]}",73.91021701,18.43673817
592,27.29891325,0,730,47.68070144,10,-0.18814659,0.649866082,0.969771862,12,30,1.673710019,"{""type"":""Point"",""coordinates"":[73.7165674079054,18.48694138254783]}",73.71656741,18.48694138
593,27.62282456,0,711,49.5195962,20,0.176135117,0.210831722,0,11,536.6563146,2.332534389,"{""type"":""Point"",""coordinates"":[74.0464976469594,18.434163184827245]}",74.04649765,18.43416318
594,28.14696374,0,587,49.1607041,10,-0.093687173,0.534122955,1.520114303,21,702.1395873,2.087858749,"{""type"":""Point"",""coordinates"":[73.75834586040328,18.557263608178282]}",73.75834586,18.55726361
595,28.88797394,0,550,42.85103918,20,-0.023754467,0.472633807,0.078431897,21,20,2.221364185,"{""type"":""Point"",""coordinates"":[73.99300915290952,18.67871028771374]}",73.99300915,18.67871029
596,29.12462849,0,562,54.66029828,40,0.119191919,0.121399177,0.214235812,21,772.3341246,2.241365912,"{""type"":""Point"",""coordinates"":[73.99156262293698,18.565321216932094]}",73.99156262,18.56532122
597,28.88797394,0,557,45.90333104,40,-0.1555666,0.514164767,0,12,192.3538406,2.221364185,"{""type"":""Point"",""coordinates"":[73.972181111292,18.6542689426249]}",73.97218111,18.65426894
598,27.79409916,35,664,46.39552592,50,0.028023599,0.257033858,82.32010651,30,851.4693183,1.964554078,"{""type"":""Point"",""coordinates"":[73.84630840863599,18.473605623323337]}",73.84630841,18.47360562
599,28.63506505,0,574,48.29936306,20,0.169494991,0.272157845,0,30,20,2.199088634,"{""type"":""Point"",""coordinates"":[73.87608756846187,18.600129672823364]}",73.87608757,18.60012967
600,27.62282456,0,648,52.86241976,30,0.141507312,0.098761877,0,12,206.1552813,2.332534389,"{""type"":""Point"",""coordinates"":[74.02325622000139,18.445963682085758]}",74.02325622,18.44596368
601,28.52975997,0,592,54.14417726,30,0.045336529,0.092072196,2.97094655,21,384.1874542,2.170833195,"{""type"":""Point"",""coordinates"":[73.87296888684759,18.651448907870627]}",73.87296889,18.65144891
602,28.12798588,3,587,48.09769988,40,0.047692013,0.28442263,30.70818329,30,628.0127387,2.080543428,"{""type"":""Point"",""coordinates"":[73.82606485763809,18.673371636610327]}",73.82606486,18.67337164
603,27.71183371,58,584,46.09815818,50,0.044333076,0.103248776,28.06619072,30,564.6237685,1.864115503,"{""type"":""Point"",""coordinates"":[73.74410773080875,18.60880992173617]}",73.74410773,18.60880992
604,28.63506505,0,579,52.37022488,30,0.199850579,0.171772429,30.21355057,30,554.7071299,2.199088634,"{""type"":""Point"",""coordinates"":[73.93023158622773,18.577856598123084]}",73.93023159,18.5778566
605,27.29891325,0,693,47.01760556,10,0.191593353,0.311657415,0,12,186.8154169,1.673710019,"{""type"":""Point"",""coordinates"":[73.73263030404785,18.539648976533854]}",73.7326303,18.53964898
606,28.58830398,0,559,48.5625506,10,0.104850214,0.218150934,8.018090248,21,60,2.26777321,"{""type"":""Point"",""coordinates"":[73.9853828091505,18.481407605263826]}",73.98538281,18.48140761
607,28.1694283,0,658,48.26176484,20,0.105827324,0.328699681,0,30,1200.708124,2.192059992,"{""type"":""Point"",""coordinates"":[73.86789079676252,18.477619257828533]}",73.8678908,18.47761926
608,28.63506505,0,620,55.8600233,30,0.202085506,0.186356589,0,11,692.3149572,2.199088634,"{""type"":""Point"",""coordinates"":[73.88821956722653,18.624910051085724]}",73.88821957,18.62491005
609,28.88797394,0,555,48.27885494,20,-0.008213178,0.467197875,0,12,171.1724277,2.221364185,"{""type"":""Point"",""coordinates"":[73.98822740801025,18.685018703990693]}",73.98822741,18.6850187
610,28.1694283,15,554,51.18417194,50,0.003746594,0.303766436,20.1092701,30,370,2.192059992,"{""type"":""Point"",""coordinates"":[73.91977646164452,18.528584494059896]}",73.91977646,18.52858449
611,29.12462849,80,564,52.43858528,50,-0.054834275,0.029210134,51.02277756,21,585.2349955,2.241365912,"{""type"":""Point"",""coordinates"":[73.9863568071959,18.567893820540107]}",73.98635681,18.56789382
612,29.12462849,0,592,55.07046068,30,0.080911562,0.082225505,4.001168728,21,100,2.241365912,"{""type"":""Point"",""coordinates"":[73.99300877979226,18.605322006719025]}",73.99300878,18.60532201
613,27.71183371,75,577,43.77390458,50,0.04543099,0.089725892,22.22340965,21,460.1086828,1.864115503,"{""type"":""Point"",""coordinates"":[73.72618041086584,18.583129091093348]}",73.72618041,18.58312909
614,28.63506505,0,613,53.1768776,30,0.182467658,0.162228932,0,21,311.44823,2.199088634,"{""type"":""Point"",""coordinates"":[73.90770815495236,18.619165799431872]}",73.90770815,18.6191658
615,28.63506505,0,601,52.14121754,20,0.177528988,0.175092831,0,11,403.1128874,2.199088634,"{""type"":""Point"",""coordinates"":[73.89574125967087,18.626955505664604]}",73.89574126,18.62695551
616,28.1694283,40,557,46.40577998,40,-0.066454437,0.424774056,228.0960541,30,450.9988914,2.192059992,"{""type"":""Point"",""coordinates"":[73.9239746426932,18.520325688192298]}",73.92397464,18.52032569
617,27.71183371,0,558,45.7939544,10,-0.082220367,0.460022523,0.222424746,21,89.4427191,1.864115503,"{""type"":""Point"",""coordinates"":[73.74628210951032,18.574651755618255]}",73.74628211,18.57465176
618,28.58830398,33,596,50.23054436,50,-0.109166832,0.403976844,11.4521637,21,475.0789408,2.26777321,"{""type"":""Point"",""coordinates"":[73.98143887626392,18.4532625560706]}",73.98143888,18.45326256
619,28.63506505,0,611,51.71054702,30,0.268609771,0.174015483,0,21,1046.231332,2.199088634,"{""type"":""Point"",""coordinates"":[73.87716433222039,18.6327004341859]}",73.87716433,18.63270043
620,27.29891325,0,762,53.11877126,30,0.225477707,0.21803005,3.22928977,11,729.9315036,1.673710019,"{""type"":""Point"",""coordinates"":[73.73190868177228,18.47377661686395]}",73.73190868,18.47377662
621,28.14696374,4,565,48.38139554,60,0.039858282,0.293942107,37.14493179,30,161.5549442,2.087858749,"{""type"":""Point"",""coordinates"":[73.76363010134212,18.59253694441883]}",73.7636301,18.59253694
622,27.71183371,0,589,51.7754894,30,0.119625026,0.154462854,3.829518557,12,622.655603,1.864115503,"{""type"":""Point"",""coordinates"":[73.70869603774796,18.639186465461204]}",73.70869604,18.63918647
623,28.14696374,80,587,50.89022222,50,0.096747289,0.300510357,80.97798157,30,196.977156,2.087858749,"{""type"":""Point"",""coordinates"":[73.84303272258458,18.622669024919727]}",73.84303272,18.62266902
624,28.58830398,17,562,46.0844861,50,0.027006321,0.017220665,7.498253345,12,480.8326112,2.26777321,"{""type"":""Point"",""coordinates"":[73.97264771087875,18.48719612906831]}",73.97264771,18.48719613
625,27.79409916,1,597,49.76911166,30,0.089677892,0.164871194,46.11740875,30,512.6402247,1.964554078,"{""type"":""Point"",""coordinates"":[73.82330591358964,18.54223984297564]}",73.82330591,18.54223984
626,27.62282456,0,748,53.17004156,30,0.186379115,0.152782245,0,11,725.6721023,2.332534389,"{""type"":""Point"",""coordinates"":[74.04415579218865,18.427924298519233]}",74.04415579,18.4279243
627,27.79409916,55,583,40.31486834,10,-0.175524476,0.600952381,21.76383781,30,228.035085,1.964554078,"{""type"":""Point"",""coordinates"":[73.78800505493557,18.536579403322325]}",73.78800505,18.5365794
628,27.62282456,0,937,52.2881924,30,0.128892555,0.141621622,0,11,702.6378868,2.332534389,"{""type"":""Point"",""coordinates"":[74.02563665762915,18.426219912228838]}",74.02563666,18.42621991
629,27.29891325,0,718,49.99128296,20,0.169646951,0.295422032,0,11,488.3646179,1.673710019,"{""type"":""Point"",""coordinates"":[73.7057196223934,18.47882425206735]}",73.70571962,18.47882425
630,28.14696374,0,556,47.56107074,40,-0.020895522,0.407934132,0.36986059,30,89.4427191,2.087858749,"{""type"":""Point"",""coordinates"":[73.7774971159463,18.581639244757028]}",73.77749712,18.58163924
631,28.1694283,60,618,44.33787788,10,-0.086925458,0.56515775,588.0205688,30,1449.586148,2.192059992,"{""type"":""Point"",""coordinates"":[73.8912600987853,18.47296578214912]}",73.8912601,18.47296578
632,29.12462849,0,555,47.78666006,40,0.096334186,0.282775313,0,21,246.9817807,2.241365912,"{""type"":""Point"",""coordinates"":[73.9769822970766,18.63633630872836]}",73.9769823,18.63633631
633,28.52975997,0,582,45.89991302,40,-0.254490414,0.709570957,3.066915035,21,417.8516483,2.170833195,"{""type"":""Point"",""coordinates"":[73.86422296533173,18.69119997536001]}",73.86422297,18.69119998
634,27.14588591,2,617,46.25196908,10,0.064256153,0.385359561,30.48134422,30,662.8725368,1.810214569,"{""type"":""Point"",""coordinates"":[73.79477513654983,18.4436403817769]}",73.79477514,18.44364038
635,28.63506505,0,607,53.85364556,30,0.174340204,0.131169174,0,21,688.7670143,2.199088634,"{""type"":""Point"",""coordinates"":[73.87040272705268,18.640130066566343]}",73.87040273,18.64013007
636,28.9400636,0,589,50.2886507,40,0.057733428,0.206754906,0,12,116.6190379,2.351222966,"{""type"":""Point"",""coordinates"":[74.0958788237913,18.453547171575128]}",74.09587882,18.45354717
637,28.58830398,0,554,43.7773226,40,-0.146329283,0.510750329,0.324504226,21,744.3117626,2.26777321,"{""type"":""Point"",""coordinates"":[73.99475617547067,18.54535098884946]}",73.99475618,18.54535099
638,27.62282456,0,619,55.86685934,40,0.058965102,0.152542373,1.496500134,12,575.6735186,2.332534389,"{""type"":""Point"",""coordinates"":[73.96521402400519,18.43893441809605]}",73.96521402,18.43893442
639,28.58830398,0,542,52.77013322,30,0.103448276,0.171243443,0,12,460.4345773,2.26777321,"{""type"":""Point"",""coordinates"":[74.03755866501125,18.5486751536608]}",74.03755867,18.54867515
640,28.52975997,44,576,46.61086118,50,0.001457195,0.140183028,19.17095375,21,550,2.170833195,"{""type"":""Point"",""coordinates"":[73.89239789533734,18.652667643535796]}",73.8923979,18.65266764
641,29.12462849,70,592,51.45419552,50,-0.008434864,0.126111983,105.1236191,30,300.1666204,2.241365912,"{""type"":""Point"",""coordinates"":[74.01159144859129,18.60186863402118]}",74.01159145,18.60186863
642,28.52975997,0,572,48.25834682,40,0.095850165,0.210720433,0,21,380.1315562,2.170833195,"{""type"":""Point"",""coordinates"":[73.87012128944302,18.68476792097562]}",73.87012129,18.68476792
643,27.62282456,0,892,50.83895192,30,0.152690864,0.185293259,0,11,653.7583651,2.332534389,"{""type"":""Point"",""coordinates"":[74.0308254680511,18.423721448953735]}",74.03082547,18.42372145
644,28.14696374,34,582,49.57428452,50,-0.027833445,0.374627755,39.08066177,30,536.6563146,2.087858749,"{""type"":""Point"",""coordinates"":[73.77671520693072,18.60359479119266]}",73.77671521,18.60359479
645,28.1694283,0,585,49.51276016,30,0.077158136,0.064082801,50.63526154,30,743.3034374,2.192059992,"{""type"":""Point"",""coordinates"":[73.9276938591172,18.47923875398677]}",73.92769386,18.47923875
646,27.62282456,0,634,56.9196095,30,0.143985637,0.1640625,0,12,161.245155,2.332534389,"{""type"":""Point"",""coordinates"":[73.95064210958918,18.438823774718337]}",73.95064211,18.43882377
647,28.52975997,0,595,52.63683044,30,0.185908482,0.141170156,5.709681988,12,877.097486,2.170833195,"{""type"":""Point"",""coordinates"":[73.9196577316187,18.681389402956768]}",73.91965773,18.6813894
648,27.79409916,0,599,45.63330746,20,0.120457143,0.324156917,1.737381816,30,412.3105626,1.964554078,"{""type"":""Point"",""coordinates"":[73.83149067776037,18.52467337534004]}",73.83149068,18.52467338
649,29.29183769,0,602,55.42593476,30,0.162348178,0.124151046,0.916803241,13,100.4987562,2.224560324,"{""type"":""Point"",""coordinates"":[74.08879338817208,18.588288988739382]}",74.08879339,18.58828899
650,28.88797394,0,570,46.3237475,40,-0.314758796,0.75964202,0,21,379.4733192,2.221364185,"{""type"":""Point"",""coordinates"":[74.0455413150184,18.688581303583785]}",74.04554132,18.6885813
651,27.62282456,0,693,50.29206872,20,0.123079992,0.170394036,29.77877808,21,400,2.332534389,"{""type"":""Point"",""coordinates"":[73.98204596733277,18.419827491026812]}",73.98204597,18.41982749
652,28.88797394,0,573,54.17493944,40,0.104592821,0.333716585,0,12,386.3935817,2.221364185,"{""type"":""Point"",""coordinates"":[73.95220714034184,18.660842034987205]}",73.95220714,18.66084203
653,29.12462849,0,574,52.03867694,40,-0.096172528,0.417944207,0.015752632,12,1161.077086,2.241365912,"{""type"":""Point"",""coordinates"":[74.00871561388661,18.56992439636248]}",74.00871561,18.5699244
654,27.62282456,0,611,54.15784934,30,0.04685813,0.163109354,0,21,379.4733192,2.332534389,"{""type"":""Point"",""coordinates"":[73.95316931668141,18.4444232902426]}",73.95316932,18.44442329
655,28.63506505,0,602,54.46547114,30,0.210752202,0.203997243,0,11,215.8703314,2.199088634,"{""type"":""Point"",""coordinates"":[73.93748407542267,18.628128264931004]}",73.93748408,18.62812826
656,28.1694283,0,576,41.94184586,10,-0.174861052,0.746425167,0.027724179,30,332.4154028,2.192059992,"{""type"":""Point"",""coordinates"":[73.90546987786574,18.509025031209468]}",73.90546988,18.50902503
657,29.29183769,0,547,52.14463556,40,-0.016903573,0.403127485,0,12,766.5507159,2.224560324,"{""type"":""Point"",""coordinates"":[74.06881408798372,18.5592341400315]}",74.06881409,18.55923414
658,27.29891325,0,732,54.16126736,30,0.196479816,0.170894898,0,12,268.7005769,1.673710019,"{""type"":""Point"",""coordinates"":[73.7270176266518,18.489720522345504]}",73.72701763,18.48972052
659,28.52975997,0,593,55.0909688,30,0.223174031,0.130206625,0,12,520.3844733,2.170833195,"{""type"":""Point"",""coordinates"":[73.88094730564495,18.695516051227294]}",73.88094731,18.69551605
660,27.71183371,34,586,49.13677796,50,0.095012626,0.262717463,14.65334225,21,496.4876635,1.864115503,"{""type"":""Point"",""coordinates"":[73.70992171404812,18.579548443816293]}",73.70992171,18.57954844
661,27.29891325,0,607,51.27304046,30,0.202979516,0.14163777,6.291442871,12,196.977156,1.673710019,"{""type"":""Point"",""coordinates"":[73.72264395451984,18.527403925621023]}",73.72264395,18.52740393
662,28.14696374,0,564,48.70268942,40,0.05401398,0.050823529,22.15450287,30,176.9180601,2.087858749,"{""type"":""Point"",""coordinates"":[73.75457041461036,18.625531041287722]}",73.75457041,18.62553104
663,28.12798588,54,606,51.64560464,50,-0.048923679,0.30142213,51.47330475,30,434.6262762,2.080543428,"{""type"":""Point"",""coordinates"":[73.82622314470309,18.659453963273897]}",73.82622314,18.65945396
664,28.1694283,11,596,44.85058088,10,-0.027159686,0.367755991,90.99999237,30,1024.890238,2.192059992,"{""type"":""Point"",""coordinates"":[73.90378239649318,18.48877369480199]}",73.9037824,18.48877369
665,28.88797394,0,557,44.62499156,10,-0.123771224,0.357991361,1.527716994,12,50,2.221364185,"{""type"":""Point"",""coordinates"":[73.99456230398769,18.67899096999483]}",73.9945623,18.67899097
666,28.1694283,70,664,47.66361134,50,0.166666667,0.086777991,371.7904663,30,622.4146528,2.192059992,"{""type"":""Point"",""coordinates"":[73.87020176382408,18.4607591464463]}",73.87020176,18.46075915
667,27.14588591,0,680,51.86435792,40,0.140569814,0.162790698,0,12,964.0020747,1.810214569,"{""type"":""Point"",""coordinates"":[73.80767085653311,18.407874705595603]}",73.80767086,18.40787471
668,28.58830398,65,544,49.11285182,50,0.120099564,0.042772861,46.15521622,23,332.4154028,2.26777321,"{""type"":""Point"",""coordinates"":[74.01433644231318,18.49043821606473]}",74.01433644,18.49043822
669,28.14107453,0,608,48.7334516,40,0.025298329,0.23271959,1.181447506,12,963.3275663,2.550083672,"{""type"":""Point"",""coordinates"":[74.06599877676824,18.444836869137163]}",74.06599878,18.44483687
670,26.60724477,0,593,45.11718644,20,0.133259669,0.366074539,0,21,60.8276253,1.532930593,"{""type"":""Point"",""coordinates"":[73.73551687260985,18.403844127925762]}",73.73551687,18.40384413
671,28.12798588,78,580,52.34288072,50,0.06253014,0.085427136,120.6147614,30,259.4224354,2.080543428,"{""type"":""Point"",""coordinates"":[73.81908700630068,18.680624776814867]}",73.81908701,18.68062478
672,27.79409916,48,577,44.22508322,50,0.045376221,0.163458173,151.4332123,30,541.4794548,1.964554078,"{""type"":""Point"",""coordinates"":[73.79715525292762,18.485951058742753]}",73.79715525,18.48595106
673,28.14107453,0,622,49.74860354,20,0.063780441,0.270390768,3.008752823,12,350,2.550083672,"{""type"":""Point"",""coordinates"":[74.08762536007325,18.439241844227094]}",74.08762536,18.43924184
674,28.14696374,0,557,45.38721002,10,-0.204761905,0.676884838,0.078763165,30,10,2.087858749,"{""type"":""Point"",""coordinates"":[73.78796341120606,18.620215106091614]}",73.78796341,18.62021511
675,27.29891325,0,608,48.03959354,20,0.108419381,0.332344214,0,11,800.5623024,1.673710019,"{""type"":""Point"",""coordinates"":[73.74029043037606,18.456684814885662]}",73.74029043,18.45668481
676,28.12798588,8,591,47.79691412,50,-0.035084392,0.527995521,90.52092743,30,720,2.080543428,"{""type"":""Point"",""coordinates"":[73.83121399279024,18.66814957153042]}",73.83121399,18.66814957
677,29.29183769,0,550,50.72615726,10,0.024173274,0.338816662,1.29171586,12,762.1679605,2.224560324,"{""type"":""Point"",""coordinates"":[74.06761783216716,18.55974468326119]}",74.06761783,18.55974468
678,27.62282456,0,756,48.17631434,20,0.232067511,0.234559086,0,11,310,2.332534389,"{""type"":""Point"",""coordinates"":[73.97091322588156,18.411308983719636]}",73.97091323,18.41130898
